جدول	الربط مع	البيان
TBL001	فاتورة 	انوع العملات
TBL004	فاتورة 	شجرة الحسابات
TBL005	فاتورة 	مراكز التكلفة
TBL007	فاتورة تفصيل	الأصناف
TBL008	فاتورة 	المستودعات
TBL010		قبض
TBL011		قيود
TBL012		قيود تفاصيل
TBL013	فاتورة 	المستخدمين
TBL016	فاتورة 	العملاء
TBL019	فاتورة 	طريقة الدفع
TBL020	فاتورة 	نوع الفاتورة
TBL022		فاتورة
TBL023		فاتورة تفاصيل
TBL024		فاتورة إضافات وحسميات
TBL025	فاتورة 	اسم البنك
TBL027	فاتورة 	فارغ
TBL033		شاشات التخصيص
TBL038		قيود الكل
TBL042	فاتورة 	صلاحيات المستخدمين مجموعات
TBL044		الصلاحيات
TBL049	فاتورة 	فارغ
TBL050	فاتورة 	الفرع
TBL081	فاتورة تفصيل	التصنيفات- تعريف شحنة التفاصيل
TBL085	فاتورة 	التصنيفات- تعريف شحنة
TBL107	فاتورة 	فارغ
TBL111		ترتيب المينيو بالفلدرات
TBL128	فاتورة تفصيل	فارغ
TBL134	فاتورة 	أنواع الضرائب
